LAT,LON,direction,speed
21.75,28.75,10.48,3.3
21.75,29.25,8.91,3.37
21.75,29.75,7.92,3.5
21.75,30.25,25.23,3.62
21.75,30.75,55.38,3.67
21.75,31.25,69.68,3.63
21.75,31.75,41.96,3.45
21.75,32.25,135.92,3.38
21.75,32.75,263.19,3.38
21.75,33.25,307.14,3.4
21.75,33.75,122.89,3.42
21.75,34.25,37.64,3.22
21.75,34.75,20.09,3.18
21.75,35.25,18.75,3.18
21.75,35.75,26.79,3.15
21.75,36.25,82.08,3.06
21.75,36.75,272.39,3.84
22.25,28.75,8.75,3.27
22.25,29.25,7.43,3.29
22.25,29.75,13.52,3.34
22.25,30.25,61.57,3.39
22.25,30.75,138.95,3.41
22.25,31.25,185.89,3.45
22.25,31.75,125.3,3.4
22.25,32.25,186.69,3.31
22.25,32.75,283.65,3.26
22.25,33.25,314.75,3.26
22.25,33.75,163.5,3.27
22.25,34.25,42.65,3.19
22.25,34.75,18.93,3.08
22.25,35.25,17.32,3.01
22.25,35.75,55.8,3.08
22.25,36.25,245.42,3.36
22.25,36.75,312.66,4.39
22.75,28.75,12.16,3.31
22.75,29.25,21.11,3.32
22.75,29.75,36.75,3.35
22.75,30.25,101.78,3.36
22.75,30.75,194.03,3.35
22.75,31.25,226.57,3.37
22.75,31.75,175.4,3.46
22.75,32.25,221.79,3.4
22.75,32.75,290.9,3.32
22.75,33.25,298.84,3.29
22.75,33.75,152.66,3.33
22.75,34.25,104.21,3.17
22.75,34.75,48.43,2.91
22.75,35.25,14.53,2.88
22.75,35.75,75.21,3.25
22.75,36.25,346.6,4.03
22.75,36.75,334.29,4.69
23.25,28.75,51.83,3.39
23.25,29.25,61.19,3.43
23.25,29.75,70.02,3.47
23.25,30.25,123.7,3.49
23.25,30.75,192.95,3.47
23.25,31.25,173.83,3.46
23.25,31.75,183.24,3.53
23.25,32.25,265.61,3.51
23.25,32.75,316.7,3.45
23.25,33.25,300.56,3.36
23.25,33.75,249.42,3.2
23.25,34.25,255.2,2.98
23.25,34.75,161.4,2.8
23.25,35.25,72.47,3.11
23.25,35.75,96.8,3.89
23.25,36.25,346.74,4.66
23.25,36.75,338.03,4.88
23.75,28.75,127.84,3.43
23.75,29.25,136.94,3.5
23.75,29.75,145.9,3.54
23.75,30.25,171.65,3.51
23.75,30.75,190.61,3.45
23.75,31.25,138.68,3.49
23.75,31.75,250.57,3.53
23.75,32.25,321.69,3.48
23.75,32.75,341.13,3.38
23.75,33.25,331.03,3.22
23.75,33.75,346.63,3
23.75,34.25,346.05,2.95
23.75,34.75,291.56,2.94
23.75,35.25,234.74,3.51
23.75,35.75,231.87,4.47
23.75,36.25,343.91,4.99
23.75,36.75,337.92,5.1
24.25,28.75,209.49,3.43
24.25,29.25,251.3,3.46
24.25,29.75,268.74,3.45
24.25,30.25,245.42,3.38
24.25,30.75,197.52,3.31
24.25,31.25,173.79,3.42
24.25,31.75,316.65,3.44
24.25,32.25,347.32,3.36
24.25,32.75,343.57,3.21
24.25,33.25,342.88,3.07
24.25,33.75,342.46,3.04
24.25,34.25,301.6,3.12
24.25,34.75,320.54,3.22
24.25,35.25,340.72,3.89
24.25,35.75,341.18,4.87
24.25,36.25,338.52,5.07
24.25,36.75,334.38,5.13
24.75,28.75,295.59,3.3
24.75,29.25,328.2,3.31
24.75,29.75,322.92,3.36
24.75,30.25,257.93,3.34
24.75,30.75,189.04,3.29
24.75,31.25,249.73,3.41
24.75,31.75,328.13,3.42
24.75,32.25,340.89,3.32
24.75,32.75,337.32,3.19
24.75,33.25,339.89,3.11
24.75,33.75,344.18,3.15
24.75,34.25,289.05,3.22
24.75,34.75,318.2,3.59
24.75,35.25,342.41,4.34
24.75,35.75,335.3,5.08
24.75,36.25,333.35,4.96
24.75,36.75,329.97,4.87
25.25,28.75,318.24,3.11
25.25,29.25,299.94,3.22
25.25,29.75,312.58,3.42
25.25,30.25,285.06,3.46
25.25,30.75,245.82,3.36
25.25,31.25,322.81,3.38
25.25,31.75,336.69,3.32
25.25,32.25,333.96,3.18
25.25,32.75,331.8,3.07
25.25,33.25,336.54,3.06
25.25,33.75,343.68,3.17
25.25,34.25,334.47,3.29
25.25,34.75,337.23,4.03
25.25,35.25,336.86,4.75
25.25,35.75,330.68,5.04
25.25,36.25,328.46,4.8
25.25,36.75,326.16,4.31
25.75,28.75,260.43,3.02
25.75,29.25,256.15,3.14
25.75,29.75,312.33,3.33
25.75,30.25,337.37,3.41
25.75,30.75,323.06,3.34
25.75,31.25,344.62,3.23
25.75,31.75,333.5,3.11
25.75,32.25,328.96,2.95
25.75,32.75,329.19,2.86
25.75,33.25,333.43,2.9
25.75,33.75,341.98,3.04
25.75,34.25,346.6,3.6
25.75,34.75,340.05,4.49
25.75,35.25,331.32,5
25.75,35.75,325.38,4.89
25.75,36.25,323.11,4.44
25.75,36.75,323.12,3.67
26.25,28.75,254.09,2.93
26.25,29.25,263.8,3.03
26.25,29.75,315.77,3.15
26.25,30.25,348.25,3.24
26.25,30.75,345.45,3.23
26.25,31.25,337.6,3.09
26.25,31.75,332.58,3.04
26.25,32.25,332.37,2.96
26.25,32.75,333.9,2.94
26.25,33.25,336.55,2.98
26.25,33.75,342.24,3.05
26.25,34.25,342.92,4.35
26.25,34.75,335.02,5.04
26.25,35.25,326.04,5.1
26.25,35.75,319.91,4.63
26.25,36.25,317.03,3.83
26.25,36.75,318.56,3.28
26.75,28.75,230.46,2.94
26.75,29.25,277.12,3.06
26.75,29.75,324.17,3.07
26.75,30.25,345.77,3.09
26.75,30.75,341.71,3.1
26.75,31.25,337.32,3.01
26.75,31.75,339.7,3.11
26.75,32.25,339.02,3.14
26.75,32.75,339.11,3.13
26.75,33.25,339.72,3.22
26.75,33.75,336.54,3.63
26.75,34.25,332.39,5.07
26.75,34.75,327.01,5.32
26.75,35.25,321.03,4.9
26.75,35.75,314.62,4.13
26.75,36.25,307.58,3.16
26.75,36.75,303.58,3.14
27.25,28.75,184.12,3.05
27.25,29.25,289.78,3.08
27.25,29.75,334.34,2.98
27.25,30.25,344.9,2.94
27.25,30.75,342.9,2.99
27.25,31.25,344.16,3.03
27.25,31.75,345.02,3.16
27.25,32.25,341.71,3.24
27.25,32.75,339.58,3.31
27.25,33.25,336.88,3.59
27.25,33.75,324.73,4.59
27.25,34.25,320.25,5.07
27.25,34.75,322.21,4.92
27.25,35.25,323.35,4.27
27.25,35.75,318.98,3.42
27.25,36.25,306.98,2.87
27.25,36.75,273.92,3.16
27.75,28.75,247.55,3.09
27.75,29.25,315,3.07
27.75,29.75,341.48,2.98
27.75,30.25,347.54,2.95
27.75,30.75,347.47,3.01
27.75,31.25,349.38,3.08
27.75,31.75,347.56,3.19
27.75,32.25,343.06,3.34
27.75,32.75,338.13,3.69
27.75,33.25,331.74,4.19
27.75,33.75,319.54,4.59
27.75,34.25,325.64,4.25
27.75,34.75,335.76,4.03
27.75,35.25,280.17,3.55
27.75,35.75,209.85,2.96
27.75,36.25,296.58,2.94
27.75,36.75,256.39,3.07
28.25,28.75,316.27,3.08
28.25,29.25,333.33,3.09
28.25,29.75,342.38,3.09
28.25,30.25,347.41,3.07
28.25,30.75,350.22,3.05
28.25,31.25,350.33,3.1
28.25,31.75,335.46,3.18
28.25,32.25,336.68,3.37
28.25,32.75,336.68,3.96
28.25,33.25,329.9,4.44
28.25,33.75,322.48,3.52
28.25,34.25,340.22,3.65
28.25,34.75,252.78,3.56
28.25,35.25,141.02,3.26
28.25,35.75,113.18,2.89
28.25,36.25,304.88,2.78
28.25,36.75,269.03,2.82
28.75,28.75,322.2,3.13
28.75,29.25,331.42,3.24
28.75,29.75,337.53,3.22
28.75,30.25,343.71,3.12
28.75,30.75,348.49,3.03
28.75,31.25,345.69,3.09
28.75,31.75,280.94,3.13
28.75,32.25,310.74,3.4
28.75,32.75,321.25,3.83
28.75,33.25,293.37,3.97
28.75,33.75,302.77,3.01
28.75,34.25,336.99,3.54
28.75,34.75,242.34,3.46
28.75,35.25,184.6,3.15
28.75,35.75,227.53,2.82
28.75,36.25,332.89,2.56
28.75,36.75,286.75,2.78
29.25,28.75,311.14,3.18
29.25,29.25,329.17,3.34
29.25,29.75,339.03,3.29
29.25,30.25,344.87,3.18
29.25,30.75,330.67,3.1
29.25,31.25,260.26,3.13
29.25,31.75,236.85,3.09
29.25,32.25,300.53,3.36
29.25,32.75,262.3,3.59
29.25,33.25,162.3,3.52
29.25,33.75,269.85,2.99
29.25,34.25,324.24,3.26
29.25,34.75,335.24,3.15
29.25,35.25,325.41,2.94
29.25,35.75,317.37,2.75
29.25,36.25,333.79,2.57
29.25,36.75,305.4,2.87
29.75,28.75,322.06,3.17
29.75,29.25,337.43,3.23
29.75,29.75,342.35,3.19
29.75,30.25,343.73,3.1
29.75,30.75,328.78,3.04
29.75,31.25,265.1,3.03
29.75,31.75,277.98,2.85
29.75,32.25,299.43,3.04
29.75,32.75,211.13,3.25
29.75,33.25,108.73,3.23
29.75,33.75,301.85,2.82
29.75,34.25,328.51,2.93
29.75,34.75,339.17,2.83
29.75,35.25,327.54,2.8
29.75,35.75,309.51,2.86
29.75,36.25,323.08,2.72
29.75,36.75,313.29,2.89
30.25,28.75,340.61,3.2
30.25,29.25,340.4,3.15
30.25,29.75,337.1,3.03
30.25,30.25,335.68,2.89
30.25,30.75,338.4,2.8
30.25,31.25,344.87,2.75
30.25,31.75,332.65,2.59
30.25,32.25,309.04,2.76
30.25,32.75,265.37,2.92
30.25,33.25,243.76,2.91
30.25,33.75,337.23,2.71
30.25,34.25,335.67,2.73
30.25,34.75,331.95,2.65
30.25,35.25,317.89,2.73
30.25,35.75,301.82,2.95
30.25,36.25,308.6,2.95
30.25,36.75,304.63,3
30.75,28.75,337.28,3.6
30.75,29.25,333.69,3.64
30.75,29.75,330.14,3.3
30.75,30.25,329.42,2.97
30.75,30.75,332.11,2.8
30.75,31.25,336.57,2.64
30.75,31.75,340.84,2.73
30.75,32.25,333.94,2.88
30.75,32.75,329.95,2.98
30.75,33.25,330.39,2.97
30.75,33.75,324.2,2.8
30.75,34.25,323.27,2.61
30.75,34.75,319.61,2.52
30.75,35.25,303.98,2.55
30.75,35.75,286.38,2.74
30.75,36.25,296,3.2
30.75,36.75,297.12,3.24
31.25,28.75,327.65,4.35
31.25,29.25,326.41,4.42
31.25,29.75,325.38,4.09
31.25,30.25,325.61,3.72
31.25,30.75,327.4,3.49
31.25,31.25,330.36,3.37
31.25,31.75,333.57,3.56
31.25,32.25,334.13,3.68
31.25,32.75,328.81,3.7
31.25,33.25,320.06,3.6
31.25,33.75,316.02,3.39
31.25,34.25,309.24,2.69
31.25,34.75,307.72,2.37
31.25,35.25,295.78,2.29
31.25,35.75,279.43,2.5
31.25,36.25,286.34,3.27
31.25,36.75,289.47,3.33
